Month,Manhattan,NewYork,Percentage
1,3178,13954,0.22774831589508385
2,3195,12173,0.2624661135299433
3,3479,13976,0.24892673153978248
4,3540,14042,0.25210084033613445
5,3432,14182,0.24199689747567338
6,2956,12496,0.23655569782330346
7,3055,12974,0.23547094188376755
8,2844,12235,0.23244789538210053
9,2744,12081,0.2271335154374638
10,2831,12225,0.23157464212678935
11,2838,12004,0.2364211929356881
12,2634,11964,0.220160481444333
