Team,Average
Railways,146.14285714285714
Rajasthan,137.36363636363637
Rajasthan Royals,147.80519480519482
Rajshahi Division,118.2
Rajshahi Kings,140.0
Rangpur Division,150.0
Rangpur Riders,133.94444444444446
Rawalpindi,137.2
Rawalpindi Rams,148.55
Rawalpindi Region,145.0
Rising Pune Supergiants,143.0
Royal Challengers Bangalore,156.37037037037038
Ruhuna,146.15384615384616
Ruhuna Reds,146.0
Ruhuna Royals,126.33333333333333
Saracens Sports Club,126.0
Saurashtra,123.61904761904762
Schools Invitation XI,115.875
Scotland,128.16129032258064
Sebastianites Cricket and Athletic Club,109.75
Services,121.0
Sialkot Region,162.33333333333334
Sialkot Stallions,150.92307692307693
Sind,127.5
Singha Sports Club,125.33333333333333
Sinhalese Sports Club,152.0
Somerset,159.1494252873563
South Africa,153.75
South Africa Emerging Players,169.0
South Africa XI,140.66666666666666
South Australia,152.47058823529412
South Island,126.0
South Western Districts,132.23076923076923
Southern Express,125.75
Southern Rocks,140.76923076923077
Southerns,99.5
Sri Lanka,146.975
Sri Lanka A,135.3
Sri Lanka Air Force Sports Club,114.0
Sri Lanka Army,116.16666666666667
Sri Lanka Cricket Combined XI,145.66666666666666
Sri Lanka Navy Sports Club,112.25
Sri Lanka Ports Authority Cricket Club,129.375
St Kitts,100.0
St Kitts and Nevis Patriots,149.92307692307693
St Lucia,98.0
St Lucia Zouks,145.64705882352942
St Vincent,109.0
Stanford Superstars,140.0
State Bank of Pakistan,129.0
Sui Northern Gas Pipelines Limited,97.0
Sunrisers Hyderabad,150.8
Surrey,151.92592592592592
Sussex,146.27777777777777
Sydney Sixers,150.95
Sydney Thunder,143.7058823529412
Sylhet Division,119.33333333333333
Sylhet Royals,139.0
Sylhet Super Stars,101.0
Tamil Nadu,134.5
Tamil Union Cricket and Athletic Club,146.94117647058823
Tasmania,152.875
Titans,149.44927536231884
Trinbago Knight Riders,141.25
Trinidad & Tobago,133.58333333333334
Trinidad & Tobago Red Steel,135.42857142857142
Tripura,117.67857142857143
Turks & Caicos,67.0
UCB-BCB Eleven,123.66666666666667
Udarata Rulers,159.0
Uganda,114.89473684210526
United Arab Emirates,129.4090909090909
United Bank Limited,112.33333333333333
United States Virgin Islands,110.5
United States of America,117.26315789473684
Uthura Rudras,126.33333333333333
Uthura Yellows,141.5
Uttar Pradesh,143.08333333333334
Uva Next,109.66666666666667
Victoria,149.52173913043478
Vidarbha,133.84615384615384
Warriors,138.8
Warwickshire,146.90140845070422
Water and Power Development Authority,121.2
Wayamba,133.83333333333334
Wayamba United,156.0
Wellington,155.3953488372093
West Indies,139.525
West Indies A,122.33333333333333
Western Australia,157.0
Western Province,137.05263157894737
Western Province Boland,140.0
Western Troopers,142.0
Westerns,129.75
Windward Islands,127.66666666666667
Worcestershire,153.14473684210526
Yaal Blazers,121.0
Yorkshire,148.7125
Zarai Taraqiati Bank Limited,131.0
Zimbabwe,132.83333333333334
Zimbabwe President's XI,117.0
Zimbabwe XI,160.0
