Name of Restaurants,City,Country Code,Day of Week
62 Rokujuni,Sydney,AU,2
,,,
62 Rokujuni,Sydney,AU,2
,,,
62 Rokujuni,Sydney,AU,3
,,,
62 Rokujuni,Sydney,AU,3
,,,
62 Rokujuni,Sydney,AU,4
,,,
62 Rokujuni,Sydney,AU,4
,,,
678 Korean Bbq,Sydney,AU,0
,,,
678 Korean Bbq,Sydney,AU,1
,,,
678 Korean Bbq,Sydney,AU,2
,,,
678 Korean Bbq,Sydney,AU,3
,,,
678 Korean Bbq,Sydney,AU,4
,,,
678 Korean Bbq,Sydney,AU,5
,,,
678 Korean Bbq,Sydney,AU,6
,,,
7th & Bake Patisserie Cafe,Canberra,AU,0
,,,
7th & Bake Patisserie Cafe,Canberra,AU,1
,,,
7th & Bake Patisserie Cafe,Canberra,AU,2
,,,
7th & Bake Patisserie Cafe,Canberra,AU,3
,,,
7th & Bake Patisserie Cafe,Canberra,AU,4
,,,
7th & Bake Patisserie Cafe,Canberra,AU,5
,,,
7th & Bake Patisserie Cafe,Canberra,AU,6
,,,
8Bit,Melbourne,AU,0
,,,
8Bit,Melbourne,AU,1
,,,
8Bit,Melbourne,AU,2
,,,
8Bit,Melbourne,AU,3
,,,
8Bit,Melbourne,AU,4
,,,
8Bit,Melbourne,AU,5
,,,
8Bit,Melbourne,AU,6
,,,
90 Secondi,Melbourne,AU,0
,,,
90 Secondi,Melbourne,AU,1
,,,
90 Secondi,Melbourne,AU,2
,,,
90 Secondi,Melbourne,AU,3
,,,
90 Secondi,Melbourne,AU,4
,,,
90 Secondi,Melbourne,AU,5
,,,
A Fish Called Inglewood,Inglewood,AU,1
,,,
A Fish Called Inglewood,Inglewood,AU,2
,,,
A Fish Called Inglewood,Inglewood,AU,3
,,,
A Fish Called Inglewood,Inglewood,AU,4
,,,
A Fish Called Inglewood,Inglewood,AU,5
,,,
A Fish Called Inglewood,Inglewood,AU,6
,,,
A25,Melbourne,AU,0
,,,
A25,Melbourne,AU,1
,,,
A25,Melbourne,AU,2
,,,
A25,Melbourne,AU,3
,,,
A25,Melbourne,AU,4
,,,
A25,Melbourne,AU,5
,,,
Aamaya Indian Restaurant,Brisbane,AU,0
,,,
Aamaya Indian Restaurant,Brisbane,AU,1
,,,
Aamaya Indian Restaurant,Brisbane,AU,1
,,,
Aamaya Indian Restaurant,Brisbane,AU,2
,,,
Aamaya Indian Restaurant,Brisbane,AU,2
,,,
Aamaya Indian Restaurant,Brisbane,AU,3
,,,
Aamaya Indian Restaurant,Brisbane,AU,3
,,,
Aamaya Indian Restaurant,Brisbane,AU,4
,,,
Aamaya Indian Restaurant,Brisbane,AU,4
,,,
Aamaya Indian Restaurant,Brisbane,AU,5
,,,
Aamaya Indian Restaurant,Brisbane,AU,6
,,,
Abb Air,Sydney,AU,0
,,,
Abb Air,Sydney,AU,1
,,,
Abb Air,Sydney,AU,2
,,,
Abb Air,Sydney,AU,3
,,,
Abb Air,Sydney,AU,4
,,,
Abb Air,Sydney,AU,5
,,,
Abb Air,Sydney,AU,6
,,,
ACMI Cafe & Bar,Melbourne,AU,0
,,,
ACMI Cafe & Bar,Melbourne,AU,1
,,,
ACMI Cafe & Bar,Melbourne,AU,2
,,,
ACMI Cafe & Bar,Melbourne,AU,3
,,,
ACMI Cafe & Bar,Melbourne,AU,4
,,,
ACMI Cafe & Bar,Melbourne,AU,5
,,,
ACMI Cafe & Bar,Melbourne,AU,6
,,,
Adelphi Grill,Perth,AU,0
,,,
Adelphi Grill,Perth,AU,1
,,,
Adelphi Grill,Perth,AU,2
,,,
Adelphi Grill,Perth,AU,3
,,,
Adelphi Grill,Perth,AU,4
,,,
Adelphi Grill,Perth,AU,5
,,,
Adelphi Grill,Perth,AU,6
,,,
Aero Cafe & Bar,Sydney,AU,0
,,,
Aero Cafe & Bar,Sydney,AU,1
,,,
Aero Cafe & Bar,Sydney,AU,2
,,,
Aero Cafe & Bar,Sydney,AU,3
,,,
Aero Cafe & Bar,Sydney,AU,4
,,,
Aero Cafe & Bar,Sydney,AU,5
,,,
Aero Cafe & Bar,Sydney,AU,6
,,,
Affogato,Melbourne,AU,0
,,,
Affogato,Melbourne,AU,2
,,,
Affogato,Melbourne,AU,3
,,,
Affogato,Melbourne,AU,4
,,,
Affogato,Melbourne,AU,5
,,,
Affogato,Melbourne,AU,6
,,,
Aisuru Sushi,Perth,AU,0
,,,
Aisuru Sushi,Perth,AU,0
,,,
Aisuru Sushi,Perth,AU,1
,,,
Aisuru Sushi,Perth,AU,1
,,,
Aisuru Sushi,Perth,AU,2
,,,
Aisuru Sushi,Perth,AU,2
,,,
Aisuru Sushi,Perth,AU,3
,,,
Aisuru Sushi,Perth,AU,3
,,,
Aisuru Sushi,Perth,AU,4
,,,
Aisuru Sushi,Perth,AU,4
,,,
Aisuru Sushi,Perth,AU,5
,,,
Aisuru Sushi,Perth,AU,5
,,,
Aisuru Sushi,Perth,AU,6
,,,
Aisuru Sushi,Perth,AU,6
,,,
Aix Café Creperie Salon,Melbourne,AU,0
,,,
Aix Café Creperie Salon,Melbourne,AU,1
,,,
Aix Café Creperie Salon,Melbourne,AU,2
,,,
Aix Café Creperie Salon,Melbourne,AU,3
,,,
Aix Café Creperie Salon,Melbourne,AU,4
,,,
Aix Café Creperie Salon,Melbourne,AU,5
,,,
Aix Café Creperie Salon,Melbourne,AU,6
,,,
AJ Vietnamese Noodle House,Brisbane,AU,0
,,,
AJ Vietnamese Noodle House,Brisbane,AU,1
,,,
AJ Vietnamese Noodle House,Brisbane,AU,2
,,,
AJ Vietnamese Noodle House,Brisbane,AU,3
,,,
AJ Vietnamese Noodle House,Brisbane,AU,4
,,,
AJ Vietnamese Noodle House,Brisbane,AU,5
,,,
Ajisen Ramen,Melbourne,AU,0
,,,
Ajisen Ramen,Melbourne,AU,1
,,,
Ajisen Ramen,Melbourne,AU,2
,,,
Ajisen Ramen,Melbourne,AU,3
,,,
Ajisen Ramen,Melbourne,AU,4
,,,
Ajisen Ramen,Melbourne,AU,5
,,,
Ajisen Ramen,Melbourne,AU,6
,,,
Ajisen Ramen,Melbourne,AU,0
,,,
Ajisen Ramen,Melbourne,AU,1
,,,
Ajisen Ramen,Melbourne,AU,2
,,,
Ajisen Ramen,Melbourne,AU,3
,,,
Ajisen Ramen,Melbourne,AU,4
,,,
Ajisen Ramen,Melbourne,AU,5
,,,
Ajisen Ramen,Melbourne,AU,6
,,,
Akaneya Japanese Restaurant,Sydney,AU,0
,,,
Akaneya Japanese Restaurant,Sydney,AU,1
,,,
Akaneya Japanese Restaurant,Sydney,AU,2
,,,
Akaneya Japanese Restaurant,Sydney,AU,3
,,,
Akaneya Japanese Restaurant,Sydney,AU,4
,,,
Akaneya Japanese Restaurant,Sydney,AU,5
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,0
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,0
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,1
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,1
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,2
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,2
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,3
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,3
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,4
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,4
,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,5
,,,
Alfred's Pizzeria,Perth,AU,0
,,,
Alfred's Pizzeria,Perth,AU,1
,,,
Alfred's Pizzeria,Perth,AU,2
,,,
Alfred's Pizzeria,Perth,AU,3
,,,
Alfred's Pizzeria,Perth,AU,4
,,,
