Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.7088511629166392,1.8083172916644181,-1.5237380966213558,-4.001029755647562,5.731541074461436,-5.015032945664781,4.109368046283935,-3.1381748037638664,0.7303860454339828,0.27108730654220387,3.7418142692511847,-1.9626837383649998,-6.678803110366462,14.170009034463318
Africa,-0.6291150964047953,1.0292926451499174,0.48374002831321433,0.2573981090753607,-0.5181364403760097,1.045352149448869,-1.3406255590080527,0.13128426905551777,-0.38964784151189713,1.0981094473769113,1.7821109623798834,-2.693100402394739,-0.24442068599170377,1.9527418936271406
Albania,0.6799108913912653,-0.4085863760086051,-0.9532215357457919,0.4916451059802202,-2.703661348222518,-3.8548567549560535,1.803026836204362,7.040064730322432,0.4655459966643676,-0.7948071801363741,-0.49719799435385786,-2.411300323644141,2.417570156026226,8.901821219109202
Algeria,-1.0994776966525321,2.8801575660484247,-1.8662388394737777,0.5385429117036613,-1.958158538418403,1.281917265986474,-0.08979223933587019,-0.5598980751351407,-0.4782120893124469,0.8521135826696157,4.393966576045708,-4.249342340079568,-0.7841783729679523,4.870276701292036
American Samoa,0.5640289896122546,0.028471886308421866,1.1397755340019344,-0.991663010092142,0.059906228413912015,0.3384508238284141,-1.0676384094105713,1.3705669666897347,-1.665912837060468,0.1450881487678045,1.5505022949283565,-1.6169814928924924,0.710552459936913,1.161091487269367
Andorra,1.094126341142985,-0.7783786710706952,0.8472437292367185,4.716745019785576,-6.64823523332129,-3.3179717124747348,10.228240565126214,-5.291146144456272,-1.453418618840975,4.909456460488498,-8.640583554376631,13.18356681425564,-5.036778616457072,-0.25965869569621325
Angola,-0.09568665413187268,0.6361617125309512,1.87790471605532,0.6153991552346985,-2.140542415254369,1.742138411217,-4.436977717140834,2.187078769008808,-0.6231305155597129,0.13086656097634783,1.6355611318979157,-2.873854609850902,0.4251842212773558,1.738172367033317
Anguilla,-1.0672436649549844,1.3150234264538743,0.4733932904026173,0.5053576994422957,-1.2407829487939912,1.4572815297187747,-0.3464668197170418,0.17670028796719667,-1.967365097329807,1.209143804596458,1.4103991529717288,-1.1762875741910617,0.40291820548526275,-0.9994844288466747
Antigua And Barbuda,-0.8833439297747646,1.345191428704237,0.39596876280398796,0.5558245848066761,-1.3181248220592032,1.646338094741168,-0.4773867829384811,0.1553412197319715,-1.9763169135043275,1.1567285257351176,1.6793552644442316,-1.5837151656275992,0.5031231491601287,-0.6702571673318876
Argentina,-2.0870786983001093,4.202682394947052,-1.2144541733307737,2.2035619220109175,-0.490817312855778,-2.132688633935216,2.96602225481651,-5.995726518612091,5.796498743854546,0.3774661841991981,-2.932735377897452,1.729797840239623,2.2773202372932726,-7.8518388679966895
Armenia,-3.996063627270674,5.29583760439597,-8.028183624452428,-1.8939788304702352,3.152718943728608,0.1568903139521109,3.2672801198373693,-5.154921171731256,1.798589444429897,1.3942187996325417,16.94170441556245,-20.622094791259403,13.29630035026268,9.593507716832118
Aruba,-0.24794975988180434,1.787957432688665,0.7625789138198523,0.0014442894240326353,-1.1912327121052597,0.934013891812248,0.11266642916930834,0.06306848427337854,-1.2926672718966952,1.3418159770125175,0.4728542360340226,-1.5706806282722579,0.4874912321720934,-0.38769384692347364
Asia,-1.5146090657756413,2.403287859357181,2.300539389218138,-1.287785317705112,-0.5292555269119615,2.0949089980955446,-2.9971153846153884,8.252133659784102,-3.6883744780602337,-3.6813082335044283,1.5783551150945454,-0.018463272663700115,-1.687271596298858,19.195369345143916
Australia,-1.6081639435896202,0.38270202214068005,3.065621976727711,-0.09126998849849031,-0.6836648296965211,2.736657904675016,-2.762026772261089,0.9986039008432815,-1.1599423364129282,2.0906524290336703,-2.69899040350807,-1.409386346994384,1.1829834152616359,0.5374696360870702
Austria,11.758878483141569,-11.082365309887761,10.103515828764177,-5.128286114357312,-8.03333629261365,-4.294522944746757,10.107925460826603,9.60369170168667,-2.188721034706107,-2.3829614517800315,-12.69585959383753,18.145358382734436,-3.109253503346844,5.8306691775422514
Azerbaijan,-1.7098838679557489,3.6831063964534603,-5.077401744641044,-3.5995093406262204,5.296314065791963,0.5368675462577631,0.19704821769887373,-1.5529640045363253,-1.193250675864623,1.9907538447023212,10.712303422756715,-15.4268525592055,10.823265398295051,8.307066307524789
Bahamas,-0.6771348285372075,0.516716329938777,2.0937035782231295,0.24537723958580976,-1.262716288308017,-0.18601082537868746,-0.3329888250113152,1.2404849168311212,-0.5185377236194129,-0.5041876208586199,-2.09552760081491,3.0682080924855066,-0.7184999310983397,0.7563017072470232
Bahrain,-2.421082037433666,1.3307721433650734,-0.5999902786385216,0.38233846887348055,-0.805302513639901,-0.6154025592152342,0.8823402244609378,-0.018980269703513436,-0.6723965302379408,1.0255951812131514,2.7803883755843226,-3.440843615290537,1.569888638138515,1.438616990361817
Baker Island,0.15847758444085255,0.4840068693599517,0.8084467644526786,-0.4667007432288792,-0.18883150934428855,0.12719109023218406,0.19469348542829587,-0.316001057584177,-1.196749443168025,1.7267922868435366,-0.01971226452587611,-1.0656261626963834,0.98517575664069,0.9561489224226987
Bangladesh,-2.1958791618326545,0.7428711539353584,0.17102787754406643,-0.39203582826600436,0.4173121930315946,0.5737995509394975,0.9151913938064844,-1.6375150393935272,0.18051787916153583,2.030038664277214,0.13671793321087605,-2.8343891751583654,1.303308525727291,1.699395893643332
