Word,Rank,Frequency
doing,474,45
smile,475,44
farther,476,44
strong,477,44
Dixon,478,44
full,479,44
married,480,44
called,481,44
character,482,43
hoped,483,43
meant,484,43
ask,485,43
regard,486,43
stay,487,43
different,488,42
need,489,42
proper,490,42
ladies,491,42
conversation,492,42
spoke,493,42
reason,494,41
afterwards,495,41
respect,496,41
five,497,41
fine,498,41
night,499,41
power,500,41
real,501,41
call,502,41
early,503,40
nature,504,40
head,505,40
allowed,506,40
open,507,40
beginning,508,40
sitting,509,40
kindness,510,40
themselves,511,40
particular,512,40
end,513,40
),514,40
expected,515,40
delightful,516,39
Not,517,39
object,518,39
pleasant,519,39
returned,520,39
fond,521,39
health,522,39
whose,523,39
question,524,39
meeting,525,39
round,526,39
help,527,39
One,528,39
settled,529,39
weather,530,39
entirely,531,39
creature,532,39
fortune,533,38
continued,534,38
impossible,535,38
wrong,536,38
asked,537,38
met,538,38
Colonel,539,38
fancy,540,38
letters,541,38
bring,542,38
thoughts,543,38
child,544,38
sit,545,38
use,546,38
",--",547,38
truth,548,37
sat,549,37
sometimes,550,37
seem,551,37
convinced,552,37
Every,553,37
engaged,554,37
added,555,37
yes,556,37
surprize,557,37
handsome,558,37
received,559,36
forward,560,36
meaning,561,36
new,562,36
Enscombe,563,36
appear,564,36
temper,565,36
consider,566,36
Now,567,36
got,568,36
probably,569,36
necessary,570,36
determined,571,36
supposed,572,35
gentleman,573,35
please,574,35
news,575,35
large,576,35
company,577,35
taste,578,35
obliging,579,34
amiable,580,34
common,581,34
".--""",582,34
comfortable,583,34
morrow,584,34
husband,585,34
marriage,586,34
circumstance,587,34
At,588,34
perfect,589,33
wanting,590,33
pain,591,33
acquainted,592,33
sister,593,33
evil,594,33
excellent,595,33
sent,596,33
why,597,33
",)",598,32
match,599,32
meet,600,32
keep,601,32
hearing,602,32
ago,603,32
neither,604,32
surprized,605,32
matter,606,32
dancing,607,32
Robert,608,32
face,609,32
",'",610,32
absolutely,611,32
danger,612,31
engagement,613,31
yesterday,614,31
interesting,615,31
Maple,616,31
compliment,617,31
says,618,31
Grove,619,31
eye,620,31
case,621,31
:--,622,31
Abbey,623,31
smiling,624,31
praise,625,31
begin,626,31
spoken,627,31
second,628,31
ball,629,31
resolution,630,31
persuaded,631,31
except,632,31
fair,633,30
difficulty,634,30
serious,635,30
months,636,30
Poor,637,30
appearance,638,30
knows,639,30
papa,640,30
anxious,641,30
small,642,30
warm,643,30
twenty,644,30
worth,645,30
pass,646,30
With,647,30
difference,648,30
drawing,649,30
circumstances,650,30
looks,651,29
turned,652,29
gratitude,653,29
judgment,654,29
cheerful,655,29
merely,656,29
beauty,657,29
delighted,658,29
followed,659,29
within,660,29
four,661,29
attentions,662,29
men,663,29
greater,664,29
greatest,665,29
charming,666,29
week,667,29
resolved,668,28
turn,669,28
times,670,28
worse,671,28
satisfaction,672,28
shew,673,28
year,674,28
taking,675,28
curiosity,676,28
ten,677,28
easy,678,28
occasion,679,28
forget,680,28
ashamed,681,28
conduct,682,27
Your,683,27
companion,684,27
advantage,685,27
consequence,686,27
style,687,27
clever,688,27
honour,689,27
notice,690,27
decided,691,27
spirit,692,27
view,693,27
actually,694,27
none,695,27
loved,696,27
parties,697,27
alone,698,27
table,699,27
happened,700,27
fortunate,701,26
completely,702,26
tried,703,26
aware,704,26
excuse,705,26
knowing,706,26
Let,707,26
Campbells,708,26
plan,709,26
odd,710,26
knowledge,711,26
regret,712,26
understanding,713,26
certain,714,26
friendship,715,26
mentioned,716,26
For,717,26
late,718,26
favour,719,26
pity,720,26
Upon,721,26
marrying,722,26
sight,723,26
sake,724,25
mine,725,25
struck,726,25
quarter,727,25
Crown,728,25
quiet,729,25
distance,730,25
sensible,731,25
led,732,25
pay,733,25
sad,734,25
attached,735,25
hours,736,25
judge,737,25
guess,738,25
silent,739,25
instrument,740,25
lived,741,25
behaviour,742,25
vain,743,25
horses,744,25
spite,745,24
influence,746,24
highly,747,24
entered,748,24
standing,749,24
music,750,24
thank,751,24
admiration,752,24
turning,753,24
country,754,24
hurry,755,24
also,756,24
justice,757,24
write,758,24
seems,759,24
instead,760,24
tea,761,24
fact,762,24
comes,763,24
written,764,24
consideration,765,24
generally,766,24
disposition,767,24
event,768,24
especially,769,24
tone,770,24
gentlemen,771,24
purpose,772,23
Dear,773,23
join,774,23
send,775,23
town,776,23
Henry,777,23
hands,778,23
loss,779,23
self,780,23
approbation,781,23
trying,782,23
thinks,783,23
due,784,23
became,785,23
.',786,23
favourite,787,23
note,788,23
scheme,789,23
summer,790,23
understood,791,23
beautiful,792,23
extraordinary,793,23
chuse,794,23
observed,795,22
altogether,796,22
whenever,797,22
caught,798,22
rain,799,22
William,800,22
blush,801,22
couple,802,22
wait,803,22
Why,804,22
age,805,22
mistaken,806,22
pleasing,807,22
sweet,808,22
Eltons,809,22
enjoyment,810,22
proof,811,22
service,812,22
elegant,813,22
claims,814,22
answered,815,22
telling,816,22
quick,817,22
plain,818,22
pianoforte,819,22
dance,820,22
kept,821,22
work,822,22
picture,823,21
hopes,824,21
niece,825,21
duty,826,21
consciousness,827,21
likeness,828,21
After,829,21
information,830,21
Indeed,831,21
delight,832,21
try,833,21
useful,834,21
lately,835,21
spent,836,21
observe,837,21
weeks,838,21
uncle,839,21
suspect,840,21
lost,841,21
disposed,842,21
Here,843,21
safe,844,21
invitation,845,21
promise,846,21
inclination,847,21
secret,848,21
deserve,849,21
command,850,21
scarcely,851,21
stand,852,21
hers,853,20
otherwise,854,20
fixed,855,20
respectable,856,20
ease,857,20
Is,858,20
complete,859,20
imagined,860,20
"""--",861,20
recommend,862,20
While,863,20
dearest,864,20
wishes,865,20
silence,866,20
chance,867,20
presently,868,20
intimacy,869,20
past,870,20
agreed,871,20
fortnight,872,20
smallest,873,20
disappointed,874,20
fault,875,20
disagreeable,876,20
attempt,877,20
important,878,20
".""--",879,20
sudden,880,20
reasonable,881,20
expect,882,20
connexion,883,20
suspicion,884,20
charade,885,20
hint,886,19
distress,887,19
mention,888,19
worst,889,19
behind,890,19
unhappy,891,19
James,892,19
safely,893,19
forgotten,894,19
lose,895,19
speech,896,19
_her_,897,19
Then,898,19
offer,899,19
paid,900,19
passing,901,19
delay,902,19
sigh,903,19
Nobody,904,19
form,905,19
single,906,19
Have,907,19
recollect,908,19
calling,909,19
makes,910,19
wrote,911,19
women,912,19
thrown,913,19
considered,914,19
Bath,915,19
anxiety,916,19
Nothing,917,19
t,918,19
encouragement,919,19
Hill,920,19
tired,921,19
thoroughly,922,19
move,923,19
road,924,19
eager,925,19
Hawkins,926,19
amused,927,18
arrived,928,18
opportunity,929,18
severe,930,18
Box,931,18
equally,932,18
worthy,933,18
lines,934,18
spend,935,18
finding,936,18
These,937,18
Good,938,18
pride,939,18
Perhaps,940,18
high,941,18
concern,942,18
close,943,18
angry,944,18
circle,945,18
busy,946,18
effect,947,18
occurred,948,18
simple,949,18
desirable,950,18
low,951,18
law,952,18
reflection,953,18
play,954,18
rational,955,18
joy,956,18
charge,957,18
Had,958,18
period,959,18
rate,960,18
listen,961,18
disappointment,962,18
credit,963,18
friendly,964,18
returning,965,17
smiled,966,17
considering,967,17
stopped,968,17
dislike,969,17
exercise,970,17
inferior,971,17
ourselves,972,17
Coles,973,17
repeated,974,17
humour,975,17
arrangement,976,17
prevent,977,17
countenance,978,17
promised,979,17
possibly,980,17
views,981,17
living,982,17
wishing,983,17
regular,984,17
slight,985,17
joined,986,17
run,987,17
considerable,988,17
difficulties,989,17
gives,990,17
growing,991,17
laughing,992,17
history,993,17
shewed,994,17
miles,995,17
confidence,996,17
remained,997,17
alarm,998,17
Did,999,17
wedding,1000,17
warmly,1001,17
Weymouth,1002,17
However,1003,17
live,1004,17
dreadful,1005,17
Thank,1006,16
indifferent,1007,16
arm,1008,16
during,1009,16
welcome,1010,16
depend,1011,16
"!""--",1012,16
proved,1013,16
intended,1014,16
conviction,1015,16
opened,1016,16
listened,1017,16
)--,1018,16
seriously,1019,16
whatever,1020,16
amusement,1021,16
laughed,1022,16
neighbours,1023,16
minute,1024,16
refuse,1025,16
thousand,1026,16
occupied,1027,16
cut,1028,16
trouble,1029,16
reached,1030,16
education,1031,16
laugh,1032,16
waiting,1033,16
delicacy,1034,16
fire,1035,16
admired,1036,16
Ford,1037,16
suffering,1038,16
gentle,1039,16
getting,1040,16
ways,1041,16
liked,1042,16
_she_,1043,16
elegance,1044,16
fully,1045,16
line,1046,16
office,1047,16
mere,1048,16
Where,1049,16
ideas,1050,16
future,1051,16
agitation,1052,16
cause,1053,16
snow,1054,16
neighbourhood,1055,15
Pray,1056,15
chosen,1057,15
interested,1058,15
reading,1059,15
act,1060,15
invited,1061,15
assured,1062,15
gratified,1063,15
_you_,1064,15
concerned,1065,15
grateful,1066,15
dine,1067,15
tolerably,1068,15
prepared,1069,15
cure,1070,15
agree,1071,15
apples,1072,15
anywhere,1073,15
On,1074,15
share,1075,15
placed,1076,15
hundred,1077,15
Churchills,1078,15
comprehend,1079,15
totally,1080,15
value,1081,15
nonsense,1082,15
confusion,1083,15
rooms,1084,15
nephew,1085,15
express,1086,15
drawn,1087,15
itself,1088,15
mistake,1089,15
opening,1090,15
happily,1091,15
ground,1092,15
stood,1093,15
belong,1094,15
deep,1095,14
story,1096,14
escape,1097,14
indifference,1098,14
produced,1099,14
tender,1100,14
catch,1101,14
order,1102,14
sea,1103,14
reply,1104,14
strange,1105,14
absence,1106,14
advice,1107,14
besides,1108,14
consent,1109,14
habit,1110,14
Ireland,1111,14
fresh,1112,14
explanation,1113,14
rich,1114,14
Some,1115,14
spring,1116,14
visits,1117,14
remain,1118,14
",""--",1119,14
powers,1120,14
instantly,1121,14
master,1122,14
fears,1123,14
receiving,1124,14
persuade,1125,14
hold,1126,14
assistance,1127,14
acknowledge,1128,14
Only,1129,14
writing,1130,14
staying,1131,14
naturally,1132,14
";""",1133,14
suspected,1134,14
required,1135,14
utmost,1136,14
Can,1137,14
expectation,1138,14
caution,1139,14
merit,1140,14
Suckling,1141,14
nearly,1142,14
--(,1143,14
favourable,1144,14
following,1145,14
servants,1146,14
hair,1147,14
endeavour,1148,14
immediate,1149,14
compliments,1150,14
smiles,1151,14
passage,1152,14
easily,1153,14
proposed,1154,14
_I_,1155,14
infinitely,1156,14
musical,1157,14
seldom,1158,13
attend,1159,13
particulars,1160,13
winter,1161,13
Quite,1162,13
window,1163,13
fit,1164,13
proceeded,1165,13
sensations,1166,13
Larkins,1167,13
confess,1168,13
compassion,1169,13
public,1170,13
arrival,1171,13
imagination,1172,13
parting,1173,13
willing,1174,13
former,1175,13
assist,1176,13
paper,1177,13
Richmond,1178,13
boys,1179,13
leisure,1180,13
Was,1181,13
around,1182,13
admitted,1183,13
Come,1184,13
boy,1185,13
solicitude,1186,13
Martins,1187,13
month,1188,13
judged,1189,13
intelligence,1190,13
bed,1191,13
unpleasant,1192,13
expecting,1193,13
By,1194,13
fast,1195,13
appears,1196,13
Aye,1197,13
objection,1198,13
avoid,1199,13
Nash,1200,13
follow,1201,13
evidently,1202,13
undoubtedly,1203,13
vanity,1204,13
suspicions,1205,13
burst,1206,13
Who,1207,13
harm,1208,13
light,1209,13
bride,1210,13
civil,1211,13
blind,1212,13
post,1213,13
prospect,1214,13
girls,1215,13
stop,1216,13
hearted,1217,13
piece,1218,13
wonderful,1219,13
strength,1220,13
possibility,1221,13
suffer,1222,13
observation,1223,13
endure,1224,13
suit,1225,13
Vicarage,1226,12
suffered,1227,12
folly,1228,12
private,1229,12
grandmama,1230,12
happen,1231,12
venture,1232,12
acknowledged,1233,12
parlour,1234,12
finished,1235,12
material,1236,12
frightened,1237,12
touch,1238,12
sooner,1239,12
gallantry,1240,12
peace,1241,12
intercourse,1242,12
journey,1243,12
d,1244,12
sisters,1245,12
settle,1246,12
silly,1247,12
sound,1248,12
probability,1249,12
bye,1250,12
claim,1251,12
".,",1252,12
begun,1253,12
_him_,1254,12
moments,1255,12
fancying,1256,12
exclaimed,1257,12
preference,1258,12
formed,1259,12
importance,1260,12
doors,1261,12
spare,1262,12
habits,1263,12
increased,1264,12
school,1265,12
declare,1266,12
melancholy,1267,12
feared,1268,12
blessing,1269,12
breakfast,1270,12
separate,1271,12
awkward,1272,12
arranged,1273,12
wretched,1274,12
intelligible,1275,12
throat,1276,12
complexion,1277,12
lead,1278,12
increase,1279,12
advantages,1280,12
clear,1281,12
above,1282,12
seated,1283,12
misery,1284,12
glance,1285,12
thorough,1286,12
thus,1287,12
excessively,1288,12
decidedly,1289,12
size,1290,12
Could,1291,12
hard,1292,12
becoming,1293,12
recovered,1294,12
An,1295,12
earnestly,1296,12
induced,1297,12
truly,1298,12
inquiry,1299,12
_that_,1300,12
questions,1301,12
impatient,1302,12
drive,1303,12
eat,1304,12
Patty,1305,12
become,1306,12
dining,1307,12
proceed,1308,12
break,1309,12
desired,1310,12
Of,1311,12
eagerly,1312,11
mortification,1313,11
patience,1314,11
forced,1315,11
remarkably,1316,11
judging,1317,11
mad,1318,11
points,1319,11
wholly,1320,11
behaved,1321,11
Will,1322,11
uneasy,1323,11
paying,1324,11
fear,1325,11
advise,1326,11
laid,1327,11
companions,1328,11
prove,1329,11
comparison,1330,11
reserve,1331,11
dream,1332,11
secured,1333,11
Brunswick,1334,11
kindly,1335,11
differently,1336,11
thanks,1337,11
steady,1338,11
places,1339,11
beg,1340,11
lively,1341,11
closed,1342,11
cared,1343,11
confined,1344,11
maid,1345,11
entreat,1346,11
dependence,1347,11
mistress,1348,11
partner,1349,11
street,1350,11
garden,1351,11
affections,1352,11
youth,1353,11
conscious,1354,11
luck,1355,11
scruple,1356,11
Square,1357,11
hot,1358,11
pray,1359,11
accept,1360,11
disengaged,1361,11
seat,1362,11
persons,1363,11
exceedingly,1364,11
raise,1365,11
E,1366,11
succeeded,1367,11
connected,1368,11
From,1369,11
exploring,1370,11
families,1371,11
pork,1372,11
comfortably,1373,11
wants,1374,11
Christmas,1375,11
gallant,1376,11
humble,1377,11
faults,1378,11
highest,1379,11
compared,1380,11
miserable,1381,11
accomplished,1382,11
chair,1383,11
quarrel,1384,11
ma,1385,11
pause,1386,11
keeping,1387,11
Certainly,1388,11
Never,1389,11
Mill,1390,11
concealment,1391,11
carriages,1392,11
somebody,1393,11
nervous,1394,11
madam,1395,11
sufficient,1396,11
step,1397,11
subjects,1398,11
