Index,Category,PublishedYear,PublishedMonth,Total
1,Education,2017,1,10
2,Hardcover Fiction,2016,8,20
3,Hardcover Nonfiction,2017,1,20
4,Hardcover Nonfiction,2017,2,15
5,Sports,2017,1,20
6,Travel,2017,1,10
