,Year,Country,AverageTemperature,AverageTemperatureUncertainty
48060,2013,Djibouti,30.744749999999996,1.139875
48135,2013,Mali,29.941999999999997,0.74875
48034,2013,Burkina Faso,29.3855,0.538875
48229,2013,United Arab Emirates,29.370625000000004,1.346125
48192,2013,Senegal,29.3015,0.46787499999999993
48156,2013,Niger,29.231374999999996,0.588875
48138,2013,Mauritania,29.11,0.9334999999999999
48082,2013,Gambia,28.724375000000006,0.5035000000000001
48177,2013,Qatar,28.57375,1.036125
48208,2013,Sudan,28.572000000000003,0.664875
