,Year,Country,AverageTemperature,AverageTemperatureUncertainty
46359,2006,Djibouti,29.777416666666667,0.4559166666666667
46434,2006,Mali,29.03791666666667,0.6645833333333334
46528,2006,United Arab Emirates,28.984083333333334,0.39533333333333337
46333,2006,Burkina Faso,28.920249999999996,0.3324166666666667
46311,2006,Aruba,28.804666666666666,0.37341666666666673
46491,2006,Senegal,28.630750000000003,0.4098333333333333
46437,2006,Mauritania,28.4505,0.7408333333333333
46455,2006,Niger,28.291083333333333,0.5501666666666666
46353,2006,Curaçao,28.26533333333333,0.37825
46381,2006,Gambia,28.177333333333333,0.4085833333333333
