,Year,Country,AverageTemperature,AverageTemperatureUncertainty
45387,2002,Djibouti,29.531583333333334,0.96075
45462,2002,Mali,29.426500000000004,0.39724999999999994
45556,2002,United Arab Emirates,29.058000000000007,0.30433333333333334
45519,2002,Senegal,28.97816666666667,0.5123333333333333
45361,2002,Burkina Faso,28.978166666666667,0.25616666666666665
45339,2002,Aruba,28.849249999999998,0.30058333333333337
45465,2002,Mauritania,28.65025,0.6709166666666667
45409,2002,Gambia,28.547916666666666,0.5480833333333334
45381,2002,Curaçao,28.24291666666667,0.32516666666666666
45504,2002,Qatar,28.1855,0.4274166666666666
