,Year,Country,AverageTemperature,AverageTemperatureUncertainty
47088,2009,Djibouti,29.896750000000008,0.6299166666666666
47163,2009,Mali,29.440916666666666,0.40358333333333335
47257,2009,United Arab Emirates,29.127666666666673,0.4095
47062,2009,Burkina Faso,29.082999999999995,0.30858333333333327
47184,2009,Niger,28.850416666666664,0.4719166666666667
47040,2009,Aruba,28.832000000000004,0.33291666666666664
47220,2009,Senegal,28.473749999999995,0.349
47166,2009,Mauritania,28.43133333333333,0.5744166666666666
47236,2009,Sudan,28.347916666666666,0.349
47192,2009,Oman,28.342500000000005,0.4173333333333333
