,Year,Country,AverageTemperature,AverageTemperatureUncertainty
46845,2008,Djibouti,29.339250000000003,0.5885
46920,2008,Mali,28.949916666666663,0.49700000000000005
46977,2008,Senegal,28.79608333333334,0.37233333333333324
47014,2008,United Arab Emirates,28.685000000000006,0.38975000000000004
46819,2008,Burkina Faso,28.48958333333334,0.32841666666666663
46797,2008,Aruba,28.45025,0.3115833333333333
46923,2008,Mauritania,28.395,0.608
46867,2008,Gambia,28.346083333333336,0.43049999999999994
46839,2008,Curaçao,27.918499999999998,0.32016666666666665
46941,2008,Niger,27.901416666666666,0.46808333333333324
