,Year,Country,AverageTemperature,AverageTemperatureUncertainty
45630,2003,Djibouti,29.757833333333334,0.7980000000000002
45705,2003,Mali,29.429000000000002,0.4635833333333333
45799,2003,United Arab Emirates,29.228333333333335,0.3758333333333334
45604,2003,Burkina Faso,28.8835,0.31016666666666665
45582,2003,Aruba,28.84966666666666,0.33483333333333326
45762,2003,Senegal,28.704166666666666,0.4299166666666667
45708,2003,Mauritania,28.558833333333336,0.6640833333333334
45747,2003,Qatar,28.32508333333333,0.4676666666666667
45726,2003,Niger,28.30225,0.5412499999999999
45734,2003,Oman,28.269000000000005,0.4521666666666666
