,Year,Country,AverageTemperature,AverageTemperatureUncertainty
45144,2001,Djibouti,29.47691666666667,0.686
45219,2001,Mali,29.31083333333334,0.6294166666666666
45313,2001,United Arab Emirates,29.009583333333328,0.32199999999999995
45276,2001,Senegal,28.936333333333334,0.7672500000000001
45222,2001,Mauritania,28.878416666666666,0.7620833333333333
45118,2001,Burkina Faso,28.732166666666668,0.33258333333333334
45096,2001,Aruba,28.630916666666664,0.4985833333333334
45166,2001,Gambia,28.48975,0.7583333333333333
45261,2001,Qatar,28.30566666666667,0.5685833333333334
45240,2001,Niger,28.118000000000006,0.6997499999999999
