,Year,Country,AverageTemperature,AverageTemperatureUncertainty
47406,2010,Mali,30.12708333333333,0.37374999999999997
47331,2010,Djibouti,29.837,0.648
47500,2010,United Arab Emirates,29.671333333333333,0.39425000000000004
47409,2010,Mauritania,29.37291666666667,0.6708333333333333
47463,2010,Senegal,29.302333333333337,0.3663333333333334
47427,2010,Niger,29.29991666666667,0.49599999999999994
47305,2010,Burkina Faso,29.288750000000004,0.2881666666666667
47283,2010,Aruba,28.968333333333334,0.33958333333333335
47448,2010,Qatar,28.889583333333334,0.42966666666666664
47353,2010,Gambia,28.802916666666672,0.3609166666666667
