,Year,Country,AverageTemperature,AverageTemperatureUncertainty
47817,2012,Djibouti,29.92358333333333,0.78775
47986,2012,United Arab Emirates,29.42583333333333,0.559
47769,2012,Aruba,28.652333333333335,0.47925
47949,2012,Senegal,28.63558333333333,0.41383333333333333
47791,2012,Burkina Faso,28.63,0.40058333333333335
47892,2012,Mali,28.60183333333333,0.8848333333333334
47934,2012,Qatar,28.484499999999997,0.5564166666666667
47839,2012,Gambia,28.301666666666666,0.48308333333333336
47921,2012,Oman,28.211583333333326,0.7702499999999999
47913,2012,Niger,28.07275,0.6663333333333333
