,Year,Country,AverageTemperature,AverageTemperatureUncertainty
46602,2007,Djibouti,29.78633333333333,0.608
46677,2007,Mali,29.202166666666674,0.5021666666666667
46771,2007,United Arab Emirates,29.15608333333333,0.3904166666666667
46576,2007,Burkina Faso,28.983249999999998,0.2990833333333333
46554,2007,Aruba,28.82283333333333,0.34741666666666665
46734,2007,Senegal,28.816833333333335,0.337
46680,2007,Mauritania,28.451916666666666,0.6537499999999999
46698,2007,Niger,28.411916666666666,0.5158333333333333
46624,2007,Gambia,28.36491666666667,0.33975000000000005
46706,2007,Oman,28.363,0.37083333333333335
