,Year,Country,AverageTemperature,AverageTemperatureUncertainty
47574,2011,Djibouti,29.844333333333342,0.6494166666666668
47649,2011,Mali,29.436666666666667,0.4249166666666666
47743,2011,United Arab Emirates,29.205416666666668,0.35700000000000004
47548,2011,Burkina Faso,29.060666666666663,0.30791666666666667
47706,2011,Senegal,28.77491666666667,0.42783333333333334
47652,2011,Mauritania,28.63291666666667,0.6528333333333333
47526,2011,Aruba,28.513333333333332,0.36775
47670,2011,Niger,28.487416666666665,0.40316666666666673
47596,2011,Gambia,28.2825,0.43616666666666676
47691,2011,Qatar,28.1615,0.43591666666666656
