,Year,Season,AverageTemperature
836,1977,SPRING,17.1485
840,1978,SPRING,16.381
844,1979,SPRING,16.136
848,1980,SPRING,16.553
852,1981,SPRING,16.6735
856,1982,SPRING,15.9205
860,1983,SPRING,15.647499999999999
864,1984,SPRING,16.402
868,1985,SPRING,16.559
872,1986,SPRING,17.017
876,1987,SPRING,17.444
880,1988,SPRING,17.3315
884,1989,SPRING,16.3645
888,1990,SPRING,16.776
892,1991,SPRING,17.2055
896,1992,SPRING,16.253
900,1993,SPRING,16.5445
904,1994,SPRING,17.188499999999998
908,1995,SPRING,16.093
912,1996,SPRING,17.0495
916,1997,SPRING,16.474
920,1998,SPRING,16.982
924,1999,SPRING,16.3985
928,2000,SPRING,17.189500000000002
932,2001,SPRING,17.0425
936,2002,SPRING,16.98
940,2003,SPRING,16.657
944,2004,SPRING,17.237499999999997
948,2005,SPRING,16.8575
952,2006,SPRING,17.544
956,2007,SPRING,17.403
960,2008,SPRING,16.552
964,2009,SPRING,16.923000000000002
968,2010,SPRING,17.0295
972,2011,SPRING,16.6685
976,2012,SPRING,17.688000000000002
979,2013,SPRING,17.1355
