,Year,Season,AverageTemperature
718,1947,WINTER,0.34079999999999994
722,1948,WINTER,0.021199999999999795
726,1949,WINTER,0.12299999999999996
730,1950,WINTER,0.49320000000000014
734,1951,WINTER,-0.08939999999999984
738,1952,WINTER,0.6234
742,1953,WINTER,1.4571999999999998
746,1954,WINTER,1.2174
750,1955,WINTER,0.09279999999999991
754,1956,WINTER,0.19939999999999974
758,1957,WINTER,1.2739999999999998
762,1958,WINTER,0.44159999999999994
766,1959,WINTER,0.5725999999999998
770,1960,WINTER,-0.06099999999999985
774,1961,WINTER,0.41780000000000006
778,1962,WINTER,0.4929999999999999
782,1963,WINTER,0.3452000000000002
786,1964,WINTER,-0.23360000000000003
790,1965,WINTER,0.43840000000000023
794,1966,WINTER,-0.25639999999999946
798,1967,WINTER,1.1657999999999997
802,1968,WINTER,0.2541999999999998
806,1969,WINTER,0.3701999999999998
810,1970,WINTER,0.23359999999999967
814,1971,WINTER,-0.15340000000000006
818,1972,WINTER,0.034800000000000074
822,1973,WINTER,0.6321999999999999
826,1974,WINTER,0.7620000000000001
830,1975,WINTER,-0.0717999999999999
834,1976,WINTER,0.9640000000000001
838,1977,WINTER,0.8830000000000002
842,1978,WINTER,-0.014999999999999857
846,1979,WINTER,-0.4204
850,1980,WINTER,0.7282000000000002
854,1981,WINTER,2.323
858,1982,WINTER,0.27940000000000065
862,1983,WINTER,0.4288
866,1984,WINTER,0.6432000000000005
870,1985,WINTER,0.3793999999999998
874,1986,WINTER,2.1666
878,1987,WINTER,1.7449999999999999
882,1988,WINTER,0.9626000000000001
886,1989,WINTER,0.5142
890,1990,WINTER,1.5148000000000004
894,1991,WINTER,1.7584000000000004
898,1992,WINTER,1.7946000000000002
902,1993,WINTER,0.9120000000000003
906,1994,WINTER,1.1054000000000002
910,1995,WINTER,1.4372
914,1996,WINTER,0.5519999999999997
918,1997,WINTER,1.05
922,1998,WINTER,2.0930000000000004
926,1999,WINTER,1.5144000000000006
930,2000,WINTER,2.0566000000000004
934,2001,WINTER,1.6075999999999997
938,2002,WINTER,1.9065999999999999
942,2003,WINTER,1.6600000000000001
946,2004,WINTER,1.6736
950,2005,WINTER,1.8594000000000002
954,2006,WINTER,2.3232
958,2007,WINTER,1.1950000000000003
962,2008,WINTER,0.5457999999999998
966,2009,WINTER,0.7896000000000001
970,2010,WINTER,0.8658000000000001
974,2011,WINTER,1.2042
978,2012,WINTER,2.6546
981,2013,WINTER,1.4720000000000004
