,Year,AverageTemperature
count,246.0,246.0
mean,1890.5,0.3168504065040651
std,71.1582742904857,0.7948318332597778
min,1768.0,-2.8819999999999997
25%,1829.25,-0.14760000000000006
50%,1890.5,0.19749999999999968
75%,1951.75,0.7844000000000001
max,2013.0,2.6546
